tweet,Sentiment
"@Gingernyc today i'm averaging at a 3....but then think of your LA shows (&amp;, therefore, my hols) and i spike up to a 5 again!! ",1
"@MichaelParisi I wouldn't say I'm hooked yet, but it has definitely peaked my interest.  I'll likely add it to my Netflix queue.  ",1
@cwtweets congrats and good luck on your medical school applications... ,1
@iragrant waaah!!!! I think you can use it as a car too and cut the grass ,1
Just finished watching Ghost of Girlfriends' Past with Wanting! Awesome!  - http://tweet.sg,1
@jonasbrothers http://twitpic.com/7gowf - i was there!  and i met themm,1
says onlineeee  http://plurk.com/p/11bxmf,1
blogged about a kewt incident that happened in the morning  Still smiling ,1
"@Lucky_Shamrockx haha im forever losing it, actually i was never with it in the first place so its ok  xx",1
Is putting new flooring in the baby's room today .. WAY 6 more months and &quot;Peanut&quot; is here ,1
Photo: …. went to the mall yesterday… and took some picutures that caught my attention….  have a look  http://tumblr.com/xns224zok,1
@charavel Look at Universal Mobile offers… I think I'll switch from SFR to the iPhone offer from UM ,1
"angry angry angry, grrr grr grr. Then yoga and ... aaaaaaaaaaaaaaaahhhhhhhhhh ",1
@ddlovato you are soo lucky ;o ! i wish that i was in Paris !! ,1
@xhannahshureyx you know. u'd think tweeting would get boring one day. but it really doesn't :S i have yet to figure out whY ,1
@MicheAruna well hello there ,1
"@tayto_mcg you need to look out for http://www.e4.com/inbetweeners/ - really, really funny ",1
"@Marsala29 hope you had a good &quot;Hair Day&quot;,, Referring to ur girls day getting u alls hair did, lol... Thought Bev said Hay Day at first ",1
"Bom dia, twitters. ",1
@IvyBean104    We have Been missing You !!   ,1
"@rxradio1 so a demo is really needed?  i mean, can't we audition live or something?",1
"ohh first 2 kisses - then hugs and kisses and now up to 3  (no one is gonna get what i just said) its between me, myself and I ",1
"@MadGerald oh the joys of flat hunting, i seem to remember there was nice places along the seafront - bit far from the station tho ",1
"on the train, finished exams, bring on post exam antics ",1
watch this http://bit.ly/2S3xlc  and follow him @peterfacinelli ,1
Yay at new phone apps for twitter ,1
@wendytime great minds......  ,1
"@gavb 'All voer'?  Really, it's nothing more than ghayfever.",1
Sorry Tweeple! I was jumping for an hour cuz my sister got into a GREAT college!     ,1
@condamns I don't blame you at all  My friend just told me josh was wrong. there's been 7 shows with gen x winning 3 times lol,1
@heyshezie i noticed earlier  how'd ya come up with it?,1
I cleaned my room today..its CLEANNNNNNNNN~! ,1
"@Coline_Lacour Yeh i know. I hope it'll be great  &amp; remembeeeer: USA = GREAT, BAC = NOT GREAT xD",1
@valagnew thats ok. Sometimes it doesnt work for me either! @Shannenp you were the one who started it ha ha ,1
"@GeorgeDugdale Hey Tiger, hope your driving went (or is going?) ok  I'm going for a spot of lunch in the sun! Catch up with you later xxx",1
@nikster07 YAY. Can't wait for you to be done. Saturday night - so looking forward to it  I reckon these holidays will be fun.,1
Getting ready and watching music channels ,1
My nana makes the best toast ,1
"Good morning  I slept really well. I think I'm gunna clean my room, just because ",1
@miss_pipedream I believe that it's true.  Yay Poynter.,1
Sending LOVE and Happy Tuesday vibes to all my #T&amp;G Tweeties!! Special hugs to my buddy @UmbroTX Hope to see ya all *live* at some point ,1
@Dyana_ I did and i answered of FB.. two big novels actually ,1
My old chinese stagiaire is graduating.  - http://mobypicture.com/?bvaumo,1
@EvilGayTwin I love your lunch tweets mr ,1
"Work today up at Blue Ridge, pretty pumped for a day of sun and canoeing ",1
"Haha, I ain't comin' to school tomorrow. ",1
@Zzeba lol cheers!  the yellow ones rules. HAHA.,1
Good Morning. . . ,1
Having homemade All-day breakfast for dinner! ,1
Mornin errrtwody! YAWN! Have a great day ,1
worst day.. :/ yellow me. ,1
@westender68 thinking time eh?! i'm &quot;online banking&quot;  still waiting for move date but otherwise ok. mustn't grumble as they say!,1
has apologized to best friend and I hope she will forgive me.  http://plurk.com/p/11bxpy,1
off to bed now... bye everyone. God Bless us all always... ,1
@cherrythegreat @jowalshy @OneLoneKnight  http://bit.ly/lwUNe  &lt;=== ,1
esquare jst 10 mins away now ,1
"off for lunch at Chiquito's on the Hagley Road West with @jamescash1976 - we're pretending we're back in Dallas, TX again. ",1
"Good night Twitter..tty at 6, 7, 8, or 9 am...lol ",1
excited for the premiere of Transformers!  Yey! ,1
"has just eradicated the good of 1,000 runs via that Egg, Bacon, Bacon and Bacon Bagle  ",1
@Bahtin @4aplin канешна любимчик ,1
@katharine2501: good luck with t'interview ,1
Im defiantly not voting for miley for the choice awards lol ,1
@AlexAllTimeLow don't forget @hamthrax ,1
@svetdalumpines They have yummy bulalo steak with marrow din at Razon's. Hehe ,1
with jessica sporle in dt using photoshop ,1
"@Jannemans Tell me, what's the problem? ",1
the first day of classes wasn't really that boring  But i still miss SUMMER ,1
it's raining -.- why now?! I wanted this at school ,1
#ronewmedia discutia despre online dating devine kinky ,1
@SheRaw1 Twitter rockt! ,1
@mikecj DM sent. ,1
I'm promoting Mosaicappeals.com on #charitytuesday    http://bit.ly/10OuwK,1
"@libbabray Yep, I've been there. Dog vomit, actually. Hope your Tuesday brightens up ",1
"HEY! tomarrow is my bday! I'd like a persona tweet from that cute guy from Twilight! Everyone pass it on for me, k??? ",1
@Kazcita I like the pink elephant variety  But anything that works is good &lt;hugs&gt;,1
Lovely to see all of the tweets about drawing and sketching coming out of #uxlondon today. More please. ,1
"Before the end of this 10-day weather forecast, I will be happily settled in Ohio. Joy ",1
@ApigInaCage VERY happy! And happier still that you found me on twitter ,1
am up to date with the workings of twitter ,1
Loving life the now  Bryan you're AMAZING ,1
"Listening to @Jonasbrothers 's Lines, Vines and Trying Times on the way to the last day of school ",1
"@cardiff_3 Well, if the Moff wants to do the same, and cast a former Bond from his own nation, then we might have Sir Sean in a future ep ",1
"@CinderellaCaro peux pas voir tes chansons dans mon twitter, better to blip them on Blip.fm  ",1
It's 12.00pm and im still in my PJ's god i love lazy non working days. ,1
@traceymadden thanks - can show everyone the grizzly photos later  #sltc09,1
On the way to Teeside park. New @Jonasbrothers album on. ,1
juz discovered the awesomeness of blogshopping!   cute clothes without the fuss of going out and buying them! perfect for super bz bees,1
"@BellaNB Ahha pity u laa! So, hows the feeling to be back in school?? ",1
@samurai_jen I'd fight anyone for a choccy bar right now! ,1
never mind! found it!!    Last day of classes! mother didn't call in yet... guess I'm skipping ahah.,1
"bom dia, twitters ",1
Keep at it Mr President! http://tinyurl.com/obamaAMA This is why we put u there   #health #AMA #obama #news,1
Thanks to everyone who replied to my logo design request. Contacting everyone now ,1
@XGraceStAcKX to the second one  wbuu? x,1
@lololauren35 Just musically? :O haha jokes  &lt;3,1
и не только Реми  ??то teacher show лагер?? Rock That Swing,1
@rillamrilla It is a hilarious movie! We're renting it these holidays okay  seriously funny.,1
@Exil_Iranian I have so many updates on my page... Thank God. ,1
THANKS GOD.. akhirny LULUS juggaa..... ,1
@Magdi_Fernandes where have i been all your life?? right here pinching on your bum  lolx,1
@heylizzmarie hi! following you now.  whats up?,1
Feel like calling peoples.....Bradie Webb give me your number ,1
@shanedawson lol yay I got ur bday right and 21 ooo ur gettin old lol jks but ur officially a man   lol,1
Woo hoo! Happy 200th tweet to me ,1
@montimer Anything on Moon ? ,1
"@yulianfh Wakaka, love it . Narakicau ",1
Items are still in the packaging ,1
@tommcfly btw you look so gorgeous   http://bit.ly/24c5K,1
iPhone 3GS is Coming  http://rflygd.com/3GS/,1
"@DanielClancy Well, I have been known to snap shots of musicians...mostly outdoors though  http://www.myspace.com/cicoree",1
is happy and feel super loved.  http://plurk.com/p/11bybe,1
"@serinurshira oh ew! &amp;duh, she's too thin and he's too ugly anyway, they are nice couple though, coz one's too thin, and one's too ugly! ",1
@ScuzzOfDreamer HEY  just listened to Bam! Wow! I liked ur other tracks too...keep up the hard work!l sick wallpaper btw.,1
"@Ferrari_Hec One of my faves is Pa que la pases bien, Shorty, Tengo tantas ganas de ti n know the remix wit Don Omar Diva Virtual!! ",1
@scottspark I'm thoroughly enjoying Masterchef !! ,1
"So, webinar done, everyone on receive mode only this time ",1
"OMGsh just saw the news n this Lil boy flushed a puppy down the toilet. Good news puppy was ok, just needed another bath! ",1
"Waking up to some Josh Rouse isn't that bad, naw, it's pretty refreshing  puts a smile on my face. ",1
I feel great! I slept for 9 1/2hrs ,1
reviewing for the recitation thing in chemistry  so easyy,1
@Ben_Hall Nothing I can talk about ,1
@nickjonas yaw ! i luv ur jeans !! hahaha didnt u guys change sm words ? bout the kissing right ? still awesome  song by u !!!!! luv ya ,1
@Deltaheaven2009  thank you ,1
"forever and always, mv  with @astridegeland",1
is listening to the mighty Bon Jovi... and he's also on my chest.  OH FNAAAAAAAAAAAAAAAAAR! *rocks out Jovi styleee*,1
"@vella_bo_bella yeah listen to archive, i is wise  archive gives nothing but good advise; have tried, works well ",1
full day of classes. then wine &amp; dessert girl night at my place ,1
@BRITTKNEEE_x awh good luck! ,1
as Master Yoda would say :&quot; Sleepy ... I feel. Meditate.. I must &quot;  Even black coffee did not help.p.p.p.pppp...z.z.z.zzzzzzzzzzzz........,1
"@batstatic dumbass  shame though, no worries, just wanted to make sure",1
@maroon5 i hope you get well soon ,1
show today ,1
@bidsg British Council... joined them yesterday!   what's up with you? globe trotting and all!!!! ;),1
@lilyroseallen French do it better ;) kiss you're a great artist ,1
Cheetos on the way home. I love it. ,1
@sixpeopleaway excellent. hopefully will see you then ,1
"Agenda for the next 2 days: work, jb cd, gym?!, doctor appointment, work, bar ",1
@nmseq  you can't wait for Adam Lambert's album? me neither my dear ,1
"@savagestar lmao, sounds good! ",1
"hrmm pretty bored ayee, liking atl atm (: tehehehe ",1
i am starting to accept reality &amp; the fact (: me at citos now ,1
@Ragesplosion yarr kitty ,1
"Goodnight tweeps, twitterverse!!  time i head home... rain's slowed down a bit. tomorrow i go on pressmode.",1
#google #maps #android #latitude http://bit.ly/hUaL7  now with video ,1
"@star_girl82 bahahahaha, well,  I've got some at home  so, no problem. and no; I'm not a pervert..you know me ;)",1
Is working then with the girl ,1
@SteveBrunton have stubby fingers? ,1
"@third_engine lol no, he's older than you. go dl the band i posted in album links thread, you'll like ",1
@owlbassboy  i just bumped mine  hopefully some more will come!,1
ohk..  had a nice tym talking with priyanka...  surfing now ,1
@Leighcandice oh no! ... watching the hills is like watching grass grow or like eating chocolate ,1
"Night @CheriAmour , it's 13pm around here ",1
haha just perfect I conect to YT and I see th newest @TheRealRyanHiga video XD it made my day  http://bit.ly/ii2wP,1
@valentinemak you don't worry about it...you're so gorgeous ,1
@SILLYY_SARA sara omg LVATT is already out here in Australia its everywhere !!!!! YAY !!!!!! ,1
@technicalfault Was it Microsoft for your sharepoint evangelism ,1
@SamuelHorler I'm waiting for Joe to get back from his media exam so we can go out ,1
Is happy. Eating Kitkat.  Yes I am a KitKat addict.,1
to @Thaitech - Monza :  Thailand should use twitter for the next revolution - seems to be doing well in Iran  Hope you are well,1
@TheIndyNews @OMarre Cameron's &quot;mock&quot; German accent : as direct descendant of Hanoverian monarchs maybe he's allowed?  http://is.gd/13mRg,1
reads a mail from &quot;Mr. D. P&quot; or Rando. Haha  It's really funny! xD,1
"@hellofridays YES IT DEFINITELY IS. but weird, the internet connection is quite fast now!  weeeeeeee",1
@PodCastRob Ahhhhh On Nooo did it really!? How far were you into the show?Did it save what you had Recorded? Glad things are Better today ,1
miss you @tgiminot ,1
"busy bee today, getting my taxes back so i can go to BENIIIIIIII!!! ",1
@nikpages great i quit  from there last weekend ,1
@Mello66 I need to have a listen to these - lots of peeps seem to like them ,1
poetry helps me out. right now i want to versify and spell this mind. ,1
@ EitherOrFilms  I watched the trailer for THE SENSATION OF SIGHT amp; it looks like a great film!  How did I miss it?!! ,1
"@__dashboard usc? what course? yeah,im in australia. ",1
"Hello im a designer. and i look freelance jobs to do  i do web , graphic, illustrations, print  let me know !!",1
wishing S. good luck with her exam ,1
@include You got an course like that in your degree? Never heard of it ,1
Going out to Shibuya for fooooood! ,1
My Girly @roxyroe Looks Insanely Cute When She Sleeps ,1
 FIELD TRIP TODAY  LEAVING NOW :3,1
@AndrewBlanda running (outside) not on dreadmill keeps me happy!! ,1
@herojaejoong wahh..i've been waiting for &quot;heaven's postman&quot;..i'm hoping to watch it sooner  tc,1
got my additional images opening the right picture in the popup window.  yay. 400 products updated so far.  100 to go. Total sold 0. heh,1
Just about to set off on a book hunt. I always set off hoping for huge bag of 1st editions.Dickens 1st ed. for a pound would be nice ,1
"@nevynxxx Let's hope they do, then we can ask them to turn it down   (I'm an old woman, it'll hurt my ageing ears)",1
Which Dave Matthews Band song am I?  41 of course!  I am appropriately named according to FB ,1
Just finished my workout @dannywood would be so proud LOL!  going home to get ready for work,1
"@trippylobsta Ah it wasn't too bad a run, good weather for it! Sky 1, the home of all good television  #Fringe #Lost",1
http://twitpic.com/7jaqm - my hair cooperated today!  also this is what i will look like when i hopefully get laser eye surgery.  ,1
Up to 150 followers now - woop. ,1
lunch was nicee! get back to cracking on doing my work now! ,1
"@JustJackmusic Sunday night was brilliant! Loved it, right up front too ",1
"@NikkiBenz Hey Nikki, just stopping by to say good morning (when you wake up) and have a great day  Now go get your Starbucks haha",1
There were two cats near the temple and one was nice enough to let me pet him.. ,1
@balanon Who knew you would spend so much time on golf courses. I guess you can caddy for me after all ,1
@ChasRunner Hit the trail!!! GO GO GO!!!     think about how good you feel after your run!!!,1
off to ashram frm 17th-23rd june for advance course in the divine presence of Guruji ,1
"Oh yeah and camping tonight, give me or Chanti a call if you wanna come ",1
"So it's a deal. #koenigsegg buys #saab Koenigssaab, kingsaab or the more swedish kungasaab or kungssaab?  gl anyway, you'll need it.",1
At the airport getting some McDonald's pre-flight ,1
thank god there is bread on this world. Such days like today would freak me out without my lovely bread ,1
but i got that great idea for my one story and yeah! haha i told u last night. u know that one with Ashley and yeah.....haha ,1
@ImajicArt Oooo... that's even more exciting!   I wish I could join in the torture...,1
@sinergiegirls Will see you there  Bringing epic camera for some nice sunshine shots ,1
@maxmarkson did U have any props? what about special effects? Just singing was it? ,1
@JoeGarde no no being out with @davekenny normally involves being &quot;blind drunk&quot;. this will just be &quot;blind&quot; - I see the confusion though ,1
@SooSpecial not the country girl but yea ,1
@Hanster7705 good good  see i am good at capital letters ,1
@treespotter kewl. will check it out tonite ,1
Great 3 mile walk this am - just what I need to boost my energy for another busy production day! ,1
"http://bit.ly/qzdC0  &gt;&gt; previews, please comment! ",1
study study study! it never ends.. well i better start.. wish me luck! ,1
@SkinBintin it's 7am and I'm at work. Lame how we're both bored at complete opposites of the world ,1
Wow...  SUN!  I actually had to break out the glasses!  ,1
just made a frankie theme for my phone ,1
@nzmovieguy I foresee lots of 12-year-olds un-following you for this... ,1
The Lucidity Book is out.  I have an illustration there. yey!,1
fuck school  2 and a half days left? i think so yeye! its summah outside HOLLA,1
@Schroedinger99 I can't remember! ,1
whose line on now. ,1
@nickjonas u guys REALLY deserve it i hope u win it all ,1
is chilling! ,1
@kashaziz well then keep it up  #t20,1
@shaundiviney cant wait for you guys album! gunna be epic.  ps: i love love loev you! - just sayin!,1
@pauloreyes626 Eh ang daya. Walang answers in the book. I can't find it here naman sa internet. I miss you too. ,1
@mileycyrus awesome miley! i hope that song u wrote will be featured soon. ,1
@alexc i'll show u git when you're down from the mountains ,1
"@balsamiqMarco Your message is in my inbox  And a reply you. Please, let me know when you receieve it.",1
"Just got home, work was awesome! I'm so glad to be back ",1
@Antiquebasket *waves back* ,1
"@coopes64 someone tweeted it this time, but I've seen it before and thought 'my day isn't so bad after all'. I'm glad you also liked it ",1
LINES VINES AND TRYING TIMES OUT TODAY!!! ,1
"@NormanJ Wait a while, tomorrow we'll both lucky guys ",1
I want some friends from Twitter. Add me ,1
@archfanatic13 i suck at Geometry BIG TIME! lol.. probably my worst subj!  i got sick of neopets already. O_o,1
"Sharkwater, Cranberry Juice, and a splash of Triple-Sec, pour over crushed ice. ",1
@FrayBaby What am I a pirate? &quot;me email&quot; My fingers aren't working this morning ,1
"@StMustard Actually I have!  fun game, but difficult to master.",1
is lookin 4 a summer job!  ... anywhere!,1
Fixin' my things.  its raining hard outside. its friggin' coooold!!.,1
...It's all part of the bigger picture. Paying dues. &amp; Sacrifice is the name of my bill collector... Time to get up &amp; chase down a train ,1
